Λήμμα (Lemma),POS,Drill_Type,Front,Back
Αιγύπτιος,Noun,Plural,Αιγύπτιος (Plural),Αιγύπτιοι
Αιγύπτιος,Noun,Genitive Singular,Αιγύπτιος (Genitive Singular),Αιγυπτίου
Αυστριακός,Noun,Plural,Αυστριακός (Plural),Αυστριακοί
Αυστριακός,Noun,Genitive Singular,Αυστριακός (Genitive Singular),Αυστριακού
Γάλλος,Noun,Plural,Γάλλος (Plural),Γάλλοι
Γάλλος,Noun,Genitive Singular,Γάλλος (Genitive Singular),Γάλλου
Γαλλίδα,Noun,Plural,Γαλλίδα (Plural),Γαλλίδες
Γαλλίδα,Noun,Genitive Singular,Γαλλίδα (Genitive Singular),Γαλλίδας
Γερμανός,Noun,Plural,Γερμανός (Plural),Γερμανοί
Γερμανός,Noun,Genitive Singular,Γερμανός (Genitive Singular),Γερμανού
Δανός,Noun,Plural,Δανός (Plural),Δανοί
Δανός,Noun,Genitive Singular,Δανός (Genitive Singular),Δανού
Δευτέρα,Noun,Plural,Δευτέρα (Plural),Δευτέρες
Δευτέρα,Noun,Genitive Singular,Δευτέρα (Genitive Singular),Δευτέρας
Εβραίος,Noun,Plural,Εβραίος (Plural),Εβραίοι
Εβραίος,Noun,Genitive Singular,Εβραίος (Genitive Singular),Εβραίου
Ελληνίδα,Noun,Plural,Ελληνίδα (Plural),Ελληνίδες
Ελληνίδα,Noun,Genitive Singular,Ελληνίδα (Genitive Singular),Ελληνίδας
Ευρωπαίος,Noun,Plural,Ευρωπαίος (Plural),Ευρωπαίοι
Ευρωπαίος,Noun,Genitive Singular,Ευρωπαίος (Genitive Singular),Ευρωπαίου
Ιάπωνας,Noun,Plural,Ιάπωνας (Plural),Ιάπωνες
Ιάπωνας,Noun,Genitive Singular,Ιάπωνας (Genitive Singular),Ιάπωνα
Ιταλός,Noun,Plural,Ιταλός (Plural),Ιταλοί
Ιταλός,Noun,Genitive Singular,Ιταλός (Genitive Singular),Ιταλού
Κινέζος,Noun,Plural,Κινέζος (Plural),Κινέζοι
Κινέζος,Noun,Genitive Singular,Κινέζος (Genitive Singular),Κινέζου
Κροάτης,Noun,Plural,Κροάτης (Plural),Κροάτες
Κροάτης,Noun,Genitive Singular,Κροάτης (Genitive Singular),Κροάτη
Κυριακή,Noun,Plural,Κυριακή (Plural),Κυριακές
Κυριακή,Noun,Genitive Singular,Κυριακή (Genitive Singular),Κυριακής
Νορβηγός,Noun,Plural,Νορβηγός (Plural),Νορβηγοί
Νορβηγός,Noun,Genitive Singular,Νορβηγός (Genitive Singular),Νορβηγού
Πέμπτη,Noun,Plural,Πέμπτη (Plural),Πέμπτες
Πέμπτη,Noun,Genitive Singular,Πέμπτη (Genitive Singular),Πέμπτης
Παρασκευή,Noun,Plural,Παρασκευή (Plural),Παρασκευές
Παρασκευή,Noun,Genitive Singular,Παρασκευή (Genitive Singular),Παρασκευής
Πολωνός,Noun,Plural,Πολωνός (Plural),Πολωνοί
Πολωνός,Noun,Genitive Singular,Πολωνός (Genitive Singular),Πολωνού
Σάββατο,Noun,Plural,Σάββατο (Plural),Σάββατα
Σάββατο,Noun,Genitive Singular,Σάββατο (Genitive Singular),Σάββατου
Σέρβος,Noun,Plural,Σέρβος (Plural),Σέρβοι
Σέρβος,Noun,Genitive Singular,Σέρβος (Genitive Singular),Σέρβου
Σαββατοκύριακο,Noun,Plural,Σαββατοκύριακο (Plural),σαββατοκύριακα
Σαββατοκύριακο,Noun,Genitive Singular,Σαββατοκύριακο (Genitive Singular),σαββατοκύριακου
Τετάρτη,Noun,Plural,Τετάρτη (Plural),Τετάρτες
Τετάρτη,Noun,Genitive Singular,Τετάρτη (Genitive Singular),Τετάρτης
Τούρκος,Noun,Plural,Τούρκος (Plural),Τούρκοι
Τούρκος,Noun,Genitive Singular,Τούρκος (Genitive Singular),Τούρκου
Τρίτη,Noun,Plural,Τρίτη (Plural),Τρίτες
Τρίτη,Noun,Genitive Singular,Τρίτη (Genitive Singular),Τρίτης
άβολος,Adjective,Feminine,άβολος (Feminine),άβολη
άβολος,Adjective,Neuter,άβολος (Neuter),άβολο
άγαλμα,Noun,Plural,άγαλμα (Plural),αγάλματα
άγαλμα,Noun,Genitive Singular,άγαλμα (Genitive Singular),αγάλματος
άγαμος,Adjective,Feminine,άγαμος (Feminine),άγαμη
άγαμος,Adjective,Neuter,άγαμος (Neuter),άγαμο
άγαμος,Noun,Plural,άγαμος (Plural),άγαμοι
άγαμος,Noun,Genitive Singular,άγαμος (Genitive Singular),αγάμου
άγγελος,Noun,Plural,άγγελος (Plural),άγγελοι
άγγελος,Noun,Genitive Singular,άγγελος (Genitive Singular),αγγέλου
άγγιγμα,Noun,Plural,άγγιγμα (Plural),αγγίγματα
άγγιγμα,Noun,Genitive Singular,άγγιγμα (Genitive Singular),αγγίγματος
άγιος,Adjective,Feminine,άγιος (Feminine),αγία
άγιος,Adjective,Neuter,άγιος (Neuter),άγιο
άγιος,Noun,Plural,άγιος (Plural),άγιοι
άγιος,Noun,Genitive Singular,άγιος (Genitive Singular),αγίου
άγκιστρο,Noun,Plural,άγκιστρο (Plural),άγκιστρα
άγκιστρο,Noun,Genitive Singular,άγκιστρο (Genitive Singular),άγκιστρου
άγκυρα,Noun,Plural,άγκυρα (Plural),άγκυρες
άγκυρα,Noun,Genitive Singular,άγκυρα (Genitive Singular),άγκυρας
άγνοια,Noun,Genitive Singular,άγνοια (Genitive Singular),άγνοιας
άγνωστος,Adjective,Feminine,άγνωστος (Feminine),άγνωστη
άγνωστος,Adjective,Neuter,άγνωστος (Neuter),άγνωστο
άγνωστος,Noun,Plural,άγνωστος (Plural),άγνωστοι
άγνωστος,Noun,Genitive Singular,άγνωστος (Genitive Singular),αγνώστου
άγονος,Adjective,Feminine,άγονος (Feminine),άγονη
άγονος,Adjective,Neuter,άγονος (Neuter),άγονο
άγριος,Adjective,Feminine,άγριος (Feminine),άγρια
άγριος,Adjective,Neuter,άγριος (Neuter),άγριο
άγχος,Noun,Plural,άγχος (Plural),άγχη
άγχος,Noun,Genitive Singular,άγχος (Genitive Singular),άγχους
άδεια,Noun,Plural,άδεια (Plural),άδειες
άδεια,Noun,Genitive Singular,άδεια (Genitive Singular),άδειας
άδειος,Adjective,Feminine,άδειος (Feminine),άδεια
άδειος,Adjective,Neuter,άδειος (Neuter),άδειο
άδικο,Noun,Plural,άδικο (Plural),άδικα
άδικο,Noun,Genitive Singular,άδικο (Genitive Singular),άδικου
άδικος,Adjective,Feminine,άδικος (Feminine),άδικη
άδικος,Adjective,Neuter,άδικος (Neuter),άδικο
άθεος,Adjective,Feminine,άθεος (Feminine),άθεη
άθεος,Adjective,Neuter,άθεος (Neuter),άθεο
άθλημα,Noun,Plural,άθλημα (Plural),αθλήματα
άθλημα,Noun,Genitive Singular,άθλημα (Genitive Singular),αθλήματος
άθλιος,Adjective,Feminine,άθλιος (Feminine),άθλια
άθλιος,Adjective,Neuter,άθλιος (Neuter),άθλιο
άθλος,Noun,Plural,άθλος (Plural),άθλοι
