Lemma,Gender,Nom_Sg,Gen_Sg,Acc_Sg,Voc_Sg,Nom_Pl,Gen_Pl,Acc_Pl,Voc_Pl
Αιγύπτιος,Masc,Αιγύπτιος,Αιγυπτίου,Αιγύπτιο,Αιγύπτιε,Αιγύπτιοι,Αιγυπτίων,Αιγυπτίους,Αιγύπτιοι
Αυστριακός,Masc,Αυστριακός,Αυστριακού,Αυστριακό,Αυστριακέ,Αυστριακοί,Αυστριακών,Αυστριακούς,Αυστριακοί
Γάλλος,Masc,Γάλλος,Γάλλου,Γάλλο,Γάλλε,Γάλλοι,Γάλλων,Γάλλους,Γάλλοι
Γαλλίδα,Fem,Γαλλίδα,Γαλλίδας,Γαλλίδα,Γαλλίδα,Γαλλίδες,Γαλλίδων,Γαλλίδες,Γαλλίδες
Γερμανός,Masc,Γερμανός,Γερμανού,Γερμανό,Γερμανέ,Γερμανοί,Γερμανών,Γερμανούς,Γερμανοί
Δανός,Masc,Δανός,Δανού,Δανό,Δανέ,Δανοί,Δανών,Δανούς,Δανοί
Δευτέρα,Fem,Δευτέρα,Δευτέρας,Δευτέρα,Δευτέρα,Δευτέρες,-,Δευτέρες,Δευτέρες
Εβραίος,Masc,Εβραίος,Εβραίου,Εβραίο,Εβραίε,Εβραίοι,Εβραίων,Εβραίους,Εβραίοι
Ελληνίδα,Fem,Ελληνίδα,Ελληνίδας,Ελληνίδα,Ελληνίδα,Ελληνίδες,Ελληνίδων,Ελληνίδες,Ελληνίδες
Ευρωπαίος,Masc,Ευρωπαίος,Ευρωπαίου,Ευρωπαίο,Ευρωπαίε,Ευρωπαίοι,Ευρωπαίων,Ευρωπαίους,Ευρωπαίοι
Ιάπωνας,Masc,Ιάπωνας,Ιάπωνα,Ιάπωνα,Ιάπωνα,Ιάπωνες,Ιαπώνων,Ιάπωνες,Ιάπωνες
Ιταλός,Masc,Ιταλός,Ιταλού,Ιταλό,Ιταλέ,Ιταλοί,Ιταλών,Ιταλούς,Ιταλοί
Κινέζος,Masc,Κινέζος,Κινέζου,Κινέζο,Κινέζε,Κινέζοι,Κινέζων,Κινέζους,Κινέζοι
Κροάτης,Masc,Κροάτης,Κροάτη,Κροάτη,Κροάτη,Κροάτες,Κροατών,Κροάτες,Κροάτες
Κυριακή,Fem,Κυριακή,Κυριακής,Κυριακή,Κυριακή,Κυριακές,Κυριακών,Κυριακές,Κυριακές
Νορβηγός,Masc,Νορβηγός,Νορβηγού,Νορβηγό,Νορβηγέ,Νορβηγοί,Νορβηγών,Νορβηγούς,Νορβηγοί
Πέμπτη,Fem,Πέμπτη,Πέμπτης,Πέμπτη,Πέμπτη,Πέμπτες,-,Πέμπτες,Πέμπτες
Παρασκευή,Fem,Παρασκευή,Παρασκευής,Παρασκευή,Παρασκευή,Παρασκευές,Παρασκευών,Παρασκευές,Παρασκευές
Πολωνός,Masc,Πολωνός,Πολωνού,Πολωνό,Πολωνέ,Πολωνοί,Πολωνών,Πολωνούς,Πολωνοί
Σάββατο,Neut,Σάββατο,Σάββατου,Σάββατο,Σάββατο,Σάββατα,Σαββάτων,Σάββατα,Σάββατα
Σέρβος,Masc,Σέρβος,Σέρβου,Σέρβο,Σέρβε,Σέρβοι,Σέρβων,Σέρβους,Σέρβοι
Σαββατοκύριακο,Neut,σαββατοκύριακο,σαββατοκύριακου,σαββατοκύριακο,σαββατοκύριακο,σαββατοκύριακα,σαββατοκύριακων,σαββατοκύριακα,σαββατοκύριακα
Τετάρτη,Fem,Τετάρτη,Τετάρτης,Τετάρτη,Τετάρτη,Τετάρτες,-,Τετάρτες,Τετάρτες
Τούρκος,Masc,Τούρκος,Τούρκου,Τούρκο,Τούρκε,Τούρκοι,Τούρκων,Τούρκους,Τούρκοι
Τρίτη,Fem,Τρίτη,Τρίτης,Τρίτη,Τρίτη,Τρίτες,-,Τρίτες,Τρίτες
ΦΠΑ,Masc,,,,,,,,
άγαλμα,Neut,άγαλμα,αγάλματος,άγαλμα,άγαλμα,αγάλματα,αγαλμάτων,αγάλματα,αγάλματα
άγαμος,Masc,άγαμος,αγάμου,άγαμο,άγαμε,άγαμοι,αγάμων,αγάμους,άγαμοι
άγγελος,Masc,άγγελος,αγγέλου,άγγελο,άγγελε,άγγελοι,αγγέλων,αγγέλους,άγγελοι
άγγιγμα,Neut,άγγιγμα,αγγίγματος,άγγιγμα,άγγιγμα,αγγίγματα,αγγιγμάτων,αγγίγματα,αγγίγματα
άγιος,Masc,άγιος,αγίου,άγιο,άγιε,άγιοι,αγίων,αγίους,άγιοι
άγκιστρο,Neut,άγκιστρο,άγκιστρου,άγκιστρο,άγκιστρο,άγκιστρα,άγκιστρων,άγκιστρα,άγκιστρα
άγκυρα,Fem,άγκυρα,άγκυρας,άγκυρα,άγκυρα,άγκυρες,αγκυρών,άγκυρες,άγκυρες
άγνοια,Fem,άγνοια,άγνοιας,άγνοια,άγνοια,,,,
άγνωστος,Masc,άγνωστος,αγνώστου,άγνωστο,άγνωστε,άγνωστοι,αγνώστων,αγνώστους,άγνωστοι
άγχος,Neut,άγχος,άγχους,άγχος,άγχος,άγχη,αγχών,άγχη,άγχη
άδεια,Fem,άδεια,άδειας,άδεια,άδεια,άδειες,αδειών,άδειες,άδειες
άδικα,Neut,,,,,,,,
άδικο,Neut,άδικο,άδικου,άδικο,άδικο,άδικα,άδικων,άδικα,άδικα
άθλημα,Neut,άθλημα,αθλήματος,άθλημα,άθλημα,αθλήματα,αθλημάτων,αθλήματα,αθλήματα
άθλος,Masc,άθλος,άθλου,άθλο,άθλε,άθλοι,άθλων,άθλους,άθλοι
άθροισμα,Neut,άθροισμα,αθροίσματος,άθροισμα,άθροισμα,αθροίσματα,αθροισμάτων,αθροίσματα,αθροίσματα
άκουσμα,Neut,άκουσμα,ακούσματος,άκουσμα,άκουσμα,ακούσματα,ακουσμάτων,ακούσματα,ακούσματα
άκρη,Fem,άκρη,άκρης,άκρη,άκρη,άκρες,ακρών,άκρες,άκρες
άκρο,Neut,άκρο,άκρου,άκρο,άκρο,άκρα,άκρων,άκρα,άκρα
άλλοθι,Neut,,,,,,,,
άλμα,Neut,άλμα,άλματος,άλμα,άλμα,άλματα,αλμάτων,άλματα,άλματα
άλμπουμ,Neut,,,,,,,,
άλογο,Neut,άλογο,αλόγου,άλογο,άλογο,άλογα,αλόγων,άλογα,άλογα
άμαξα,Fem,άμαξα,άμαξας,άμαξα,άμαξα,άμαξες,αμαξών,άμαξες,άμαξες
άμμος,Fem,άμμος,άμμου,άμμο,άμμε,άμμοι,άμμων,άμμους,άμμοι
άμυνα,Fem,άμυνα,άμυνας,άμυνα,άμυνα,άμυνες,αμυνών,άμυνες,άμυνες
άνδρας,Masc,άνδρας,άνδρα,άνδρα,άνδρα,άνδρες,ανδρών,άνδρες,άνδρες
άνεμος,Masc,άνεμος,ανέμου,άνεμο,άνεμε,άνεμοι,ανέμων,ανέμους,άνεμοι
άνεση,Fem,άνεση,άνεσης,άνεση,άνεση,ανέσεις,ανέσεων,ανέσεις,ανέσεις
άνηθος,Masc,άνηθος,άνηθου,άνηθο,άνηθε,,,,
άνθος,Neut,άνθος,άνθους,άνθος,άνθος,άνθη,ανθέων,άνθη,άνθη
άνθρακας,Masc,άνθρακας,άνθρακα,άνθρακα,άνθρακα,άνθρακες,ανθράκων,άνθρακες,άνθρακες
άνθρωπος,Masc,άνθρωπος,ανθρώπου,άνθρωπο,άνθρωπε,άνθρωποι,ανθρώπων,ανθρώπους,άνθρωποι
άνοδος,Fem,άνοδος,ανόδου,άνοδο,άνοδο,άνοδοι,ανόδων,ανόδους,άνοδοι
άνοιγμα,Neut,άνοιγμα,ανοίγματος,άνοιγμα,άνοιγμα,ανοίγματα,ανοιγμάτων,ανοίγματα,ανοίγματα
άνοιξη,Fem,άνοιξη,άνοιξης,άνοιξη,άνοιξη,ανοίξεις,ανοίξεων,ανοίξεις,ανοίξεις
άντρας,Masc,άντρας,άντρα,άντρα,άντρα,άντρες,αντρών,άντρες,άντρες
άξονας,Masc,άξονας,άξονα,άξονα,άξονα,άξονες,αξόνων,άξονες,άξονες
άποψη,Fem,άποψη,άποψης,άποψη,άποψη,απόψεις,απόψεων,απόψεις,απόψεις
άργυρος,Masc,άργυρος,αργύρου,άργυρο,άργυρε,,,,
άρδευση,Fem,άρδευση,άρδευσης,άρδευση,άρδευση,αρδεύσεις,αρδεύσεων,αρδεύσεις,αρδεύσεις
άρθρο,Neut,άρθρο,άρθρου,άρθρο,άρθρο,άρθρα,άρθρων,άρθρα,άρθρα
άρθρωση,Fem,άρθρωση,άρθρωσης,άρθρωση,άρθρωση,αρθρώσεις,αρθρώσεων,αρθρώσεις,αρθρώσεις
άρνηση,Fem,άρνηση,άρνησης,άρνηση,άρνηση,αρνήσεις,αρνήσεων,αρνήσεις,αρνήσεις
άρπαγμα,Neut,άρπαγμα,αρπάγματος,άρπαγμα,άρπαγμα,αρπάγματα,αρπαγμάτων,αρπάγματα,αρπάγματα
άρρωστος,Masc,άρρωστος,αρρώστου,άρρωστο,άρρωστε,άρρωστοι,αρρώστων,αρρώστους,άρρωστοι
άρχοντας,Masc,άρχοντας,άρχοντα,άρχοντα,άρχοντα,άρχοντες,αρχόντων,άρχοντες,άρχοντες
άρωμα,Neut,άρωμα,αρώματος,άρωμα,άρωμα,αρώματα,αρωμάτων,αρώματα,αρώματα
άσθμα,Neut,άσθμα,άσθματος,άσθμα,άσθμα,άσθματα,ασθμάτων,άσθματα,άσθματα
άσκηση,Fem,άσκηση,άσκησης,άσκηση,άσκηση,ασκήσεις,ασκήσεων,ασκήσεις,ασκήσεις
άστρο,Neut,άστρο,άστρου,άστρο,άστρο,άστρα,άστρων,άστρα,άστρα
άσυλο,Neut,άσυλο,άσυλου,άσυλο,άσυλο,άσυλα,ασύλων,άσυλα,άσυλα
άτλαντας,Masc,άτλαντας,άτλαντα,άτλαντα,άτλαντα,άτλαντες,ατλάντων,άτλαντες,άτλαντες
άτομο,Neut,άτομο,ατόμου,άτομο,άτομο,άτομα,ατόμων,άτομα,άτομα
άφιξη,Fem,άφιξη,άφιξης,άφιξη,άφιξη,αφίξεις,αφίξεων,αφίξεις,αφίξεις
έγγραφο,Neut,έγγραφο,έγγραφου,έγγραφο,έγγραφο,έγγραφα,εγγράφων,έγγραφα,έγγραφα
έγκλημα,Neut,έγκλημα,εγκλήματος,έγκλημα,έγκλημα,εγκλήματα,εγκλημάτων,εγκλήματα,εγκλήματα
έγκριση,Fem,έγκριση,έγκρισης,έγκριση,έγκριση,εγκρίσεις,εγκρίσεων,εγκρίσεις,εγκρίσεις
έγκυος,Fem,έγκυος,εγκύου,έγκυο,έγκυο,έγκυοι,εγκύων,εγκύους,έγκυοι
έδαφος,Neut,έδαφος,εδάφους,έδαφος,έδαφος,εδάφη,εδαφών,εδάφη,εδάφη
έδρα,Fem,έδρα,έδρας,έδρα,έδρα,έδρες,εδρών,έδρες,έδρες
έθιμο,Neut,έθιμο,έθιμου,έθιμο,έθιμο,έθιμα,εθίμων,έθιμα,έθιμα
έθνος,Neut,έθνος,έθνους,έθνος,έθνος,έθνη,εθνών,έθνη,έθνη
